Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
-i,{Ｂ}［動詞語尾］（不定法を示す）,[词尾]动词不定式,<문법> 동사 부정법(원형) 어미.,A,1.0,1.0,2.54,1.77
-ing-,"{Ｂ}［接尾辞］（ものを差し込んで使う道具を示す）, >>kandelingo, >>glavingo",表示插物的器具,"I. <접미사> 어떤 물건의 한쪽 끝에 꽂거나, 다른 것을 속에 꽂아 쓰는 물건을 가리킴. plum～o (펜을 꽂는) 펜대; cigar～o 담뱃대; kandel～o 촛대. ☞ -uj. II. “I” 의 갖는 독립 단어. ～o de krajono 연필 뚜껑; ～o de glavo 칼집; ～o de elektra lampo 전구의 소켓. ～i [타] …속에 끼어 넣다(박다). el～igi, mal～i (꽂았던 것을) 뽑다, 빼내다. en～igi ～i.",B,9.0,2.0,5.67,7.33
-int-,{Ｂ}［分詞接尾辞］（能動・完了）,主动过去分词（完成体）,"<접미사> 능동태의 과거분사를 나타내며 형용사적 용법, 부사적 용법, 명사적 용법이 있다: ①～a <형용사 용법> …을 완료한, …을 한. mort～a tigro 죽은 호랑이; fal～a folio 떨어진 잎. ②～e <부사 용법> …을 완료한 뒤에. trink～e kafon 커피를 마신 뒤에; fin～e la laboron 그 일을 끝낸 뒤에. ③～o <명사 용법> …을 완료한 사람. mangx～o (밥을)먹은 사람; leg～o (책을)읽은 사람.",A,1.0,1.0,2.54,1.77
-is,{Ｂ}［動詞語尾］（直説法過去形）,[词尾]直陈式过去时,동사의 직설법 과거 어미(語尾). mangx～ 먹었다; dor～ 잠잤다; stud～ 공부했다. ～-tempo <문법> 과거 시제(時制).,A,1.0,1.0,2.54,1.77
-it-,{Ｂ}［分詞接尾辞］（受動・完了） / ［学術接尾辞］【病】（炎症を示す）,被动过去分词（完成体）；（医）炎症（-ito）,"<문법> 수동 과거분사 어미: …당한, …된. ferm～a 닫힌; kapt～a 잡힌; bat～a 매맞은. ☞ perfekto.|||<의학> 기관의 염증을 나타내는 접미사. bronk～o 기관지염; apendic～o 맹장염.",A,1.0,1.0,2.54,1.77
-j,{Ｂ}［複数語尾］,[词尾]复数,<문법> 복수 어미.,A,1.0,1.0,2.54,1.77
-n,{Ｂ}［対格語尾］,[词尾]宾格,<문법> 대격(목적격) 어미.,A,1.0,1.0,2.54,1.77
-nj-,"{Ｂ}［接尾辞］（女子の愛称を示す）, >>panjo",构成对女子的爱称,"<접미> 여성을 나타내는 명사에 붙어 애칭을 만듬. patrino→p～o; onklino→o～o. ☞ -cxjo, -et. ～o-knabo 귀여운 아이, 사랑스러운 사람(애인).",B,9.0,2.0,5.67,7.33
-o,{Ｂ}［名詞語尾］,[词尾]名词,<문법> 명사 어미.,A,1.0,1.0,2.54,1.77
-ont-,{Ｂ}［分詞接尾辞］（能動・将然）,主动将来分词（表将要）,"<접미> 능동태의 미래분사를 표시하며 형용사․부사․명사적 용법이 있다. ①형용사적 용법. ～a …하려고 하는. leg～a 읽으려고 하는; mangx～a 먹으려고 하는. ②부사적 용법. ～e …하려고 하면서(하다가). leg～e 읽으려고 하면서(하다가); mangx～e 먹으려고 하면서(하다가). ③명사적 용법. ～o …하려고 하는 사람. leg～o 읽으려고 하는 사람; mangx～o 먹으려고 하는 사람. est～eco 미래(未來). la Sav～o 구세주, Mesio.",A,1.0,1.0,2.54,1.77
-op-,"{Ｂ}［接尾辞］（集合を示す）, >>duope",构成集合数,"<접미> 집합수(集合數)를 표시하며, ‘모두 함께’, ‘집단으로, 단체로’등을 뜻함. unu～e 혼자서. du～e 둘이서, 두 사람이 한 조가 되어. tri～e 셋이서, 세 사람이 한 조가 되어. ～a 집합적인, 집합된, 집단적인, 단체적인, kolektiva. ～e 집합적으로, 집단적으로, kolektive, unubloke. ～o (사람의)집단, 집합. ☞ skipo, teamo, tacxmento. sidi laux kvar～oj 네 명씩 무리지어 앉다.",B,9.0,2.0,5.67,7.33
-os,{Ｂ}［動詞語尾］（未来形）,[词尾]直陈式将来时,"①동사 직설법의 미래어미. ir～ 갈 것이다; ven～ 올 것이다. ～-tempo 미래시(未來時), futuro.",A,1.0,1.0,2.54,1.77
-ot-,{Ｂ}［分詞接尾辞］受動・将然,被动将来分词（表将要）,"<접미> 수동태의 미래분사를 표시하며 형용사․부사․명사적 용법이 있다. ①형용사적 용법. ～a …당하려고(받으려고) 하는. pun～a 벌을 받으려고 하는. ②부사적 용법. ～e …당하려고(받으려고) 하면서(하다가). pun～e 벌을 받으려고 하면서(하다가). ③명사적 용법. ～o …당하려고(받으려고) 하는 사람. pun～o 벌을 받으려고 하는 사람. ～ajxo …당하려고 하는 것. mangx～ajxo 먹일 것, 먹을 것, 밥(자기가 이길 수 있는 대상으로서의). dauxrig～a (다음에) 계속될. far～a (꼭)해야 할, farenda. jugx～o 피의자, 용의자, 피고.|||<의학> ‘귀’를 의미하는 의학용어. ～a 귀의. ～aj medikamentoj 귀약(藥).",A,1.0,1.0,2.54,1.77
-u,{Ｂ}［動詞語尾］（意志法を示す）,[词尾]动词命令式,<문법> 동사 명령/의지법 어미.,A,1.0,1.0,2.54,1.77
-um-,"{Ｂ}［接尾辞］（特定の意味を持たない）, >>gustumi, >>manumo",（含义不定）,"<접미사> 일정한 뜻이 없으며 주로 “다른 접미사로 표현할 수 없는 것”에 쓰이며, 또한 “-um 으로 파생된 단어가 그 어근과 대략적인 관계”임을 나타냄: gust～i 맛보다; lakt～o (물고기의)이리, 어백(魚白); plen～i (임무를)수행하다; malvarm～i 감기에 걸리다; komun～o 공동체. ①어근과 관계된 행위. foli～i 책장을 넘기다; palpebr～i 윙크하다; cerb～i 머리를 쓰다, 부심하다; brak～i 껴안다; buton～i 단추를 채우다. ☞ pri. ②어근이 뜻하는 것을 공급하다. aer～i 환기시키다; akv～i 물을 주다, 관개(灌漑)하다; ombr～i (데생 등에)음영(그늘)을 그려 넣다, (눈언저리를)검푸르게 화장(분장)하다; sap～i 비누칠하다; sun～i 햇볕에 노출시키다(내놓다), 햇볕을 쪼이다; vent～i 부채질하다, 바람으로 쓸어버리다. ☞ iz. ③옷의 한 부분, 장식물, 덮개 등을 뜻함. busx～o (물지 못하게 짐승의 입에 씌우는)입마개; kalkan～o 구두 뒤축; kol～o 칼라; krur～o (바지나 장화의)다리부분; naz～o 코안경; pland～o 구두창; man～o 소매 가리개(커버); pak ～o 포장지, 포장 재료. ④어근이 뜻하는 방법으로 행하는 형(刑) 집행. kvaron～i 능지처참하다; pend～i 교수형이 처하다; palis ～i 말뚝에 박아 죽이다; kruc～i 십자가형에 처하다; sxton～i 돌로 쳐 죽이다. ～o 그것, 저것, 그런 저런 것. ※친근한 사이에 쓰이는 말로 어떤 물건의 이름을 잊었을 때 대신 사용. transdonu al mi tiun ～on 그것(그 물건) 좀 나에게 건네주시오.",A,1.0,1.0,2.54,1.77
-us,{Ｂ}［動詞語尾］（条件法を示す）,[词尾]动词虚拟式,"①<동사의 능동태 가정법 어미> …이었더라면, …이었을 텐테. ※현실과 반대되는 가정, 불가능한 바램, 점잖은 부탁, 조건법 따위를 나타냄. se sxi est～ sana, sxi est～ felicxa 만약 그녀가 건강했더라면, 그녀는 행복했을 텐데; ho, se mi hav～ rifugxejon! 오, 나에게 피난처가 있다면(얼마나 좋을까); cxu mi povus prunti la libron? 제가 그 책을 빌릴 수 있습니까?; ～-modo 조건법. ②시(詩)에서 estus대신 쓰임. estint～ sane (estus estinta sana) 건강했더라면.",A,1.0,1.0,2.54,1.77
-ĉj-,"{Ｂ}［接尾辞］（男子の愛称を示す）, >>Vilĉjo, >>paĉjo",构成对男子的爱称,"<접미> 남성 고유명사 또는 친척 호칭의 첫 번째 또는 두 번째 음절에 붙혀 애칭을 만듬. Petro → Pe～o, Vilhelmo → Vil～o; onklo → o～o, patro → pa～o 등.",B,9.0,2.0,5.67,7.33
Afriko,{Ｂ}【地名】アフリカ,非洲,"아프리카. Nord～o, Mez～o, Sud～o 북아프리카, 중앙아프리카, 남아프리카. ～a 아프리카의. ～ano 아프리카인.",B,9.0,2.0,5.67,7.33
Ameriko,{Ｂ}【地名】アメリカ（大陸）,美洲,"아메리카 주, 미합중국. Nord～o 북미; Sud～o 남미; Centr～o 또는 Mez～o 중미(中美); ～ismo 미국인 특유의 말투, 사고방식, 생활방식.",B,9.0,2.0,5.67,7.33
Atlantiko,"{Ｂ}【地名】大西洋, =Atlantika Oceano",大西洋,<지리> 대서양. la norda A～o 북대서양; trans～a flugado 대서양 횡단 비행.,C,9.0,3.0,8.79,8.9
Azio,{Ｂ}【地名】アジア,亚洲,"<지리> 아시아. a～ano 아시아인. Centra A～o 중앙아시아. Okcidenta A～o 서아시아(Kauxkazo, Irano, Sirio, Arabujo). Orienta A～o 동아시아 (Koreujo, Cxinujo, Japanujo). Malgranda A～o 소아시아.",B,9.0,2.0,5.67,7.33
Aŭstralio,{Ｂ}【国名】オーストラリア（大洋州）,澳大利亚,"<지리> 오스트레일리아, 호주(濠洲). ～ano 호주인.",C,9.0,3.0,8.79,8.9
Esperanto,{Ｂ}エスペラント（1887年ザメンホフが発表した国際語）,世界语,"에스페란토. ※1887년, 폴란드 안과의사 Lazaro Ludoviko Zamenhof 박사가 창안・발표한 중립적인 국제어(國際語). ～ajxo 에스페란토의 문헌, 에스페란토에 관한 자료. ～ano 소극적인 에스페란토의 지지자. ～igi ①에스페란토로 번역하다. ②(누구를)에스페란티스토로 만들다. ～ismo ①<문법> 에스페란토적인 표현. ②에스페란토 주의(중립적이고 인간적인 에스페란토를 전 세계에 보급하려는 노력). ～isto 에스페란티스토(에스페란토를 “알고” “사용하는 사람”). ～ista mondo 에스페란티스토의 세계. ～istaro 에스페란티스토들의 집단. ～ujo 에스페란토 나라(국제적인 에스페란토 대회기간 중 일시적으로 존재하는 에스페란티스토들의 이상적인 모임). ~umi 에스페란토로 대화하며 시간을 보내다 (분위기를 즐기다). ～ologo 에스페란토 학자. ～ologio 에스페란토학(學). ☞ interlingvistiko.",B,8.0,2.0,5.67,6.83
Eŭropo,{Ｂ}【地名】ヨーロッパ,欧洲,<지리> 유럽. e～ano 유럽사람. e～anigi 유럽의 풍속과 문명을 교육하여 유럽인이 되게 하다. tut～a 전유럽의.,B,9.0,2.0,5.67,7.33
Mediteraneo,{Ｂ}【地名】地中海（ヨーロッパ南）,地中海,"<지리> 지중해(地中海). ☞ Adriatiko, Egeo, Tirena Maro.",C,9.0,3.0,8.79,8.9
Pacifiko,"{Ｂ}【地名】太平洋, =Pacifika Oceano",太平洋,<지리> 태평양.,C,9.0,3.0,8.79,8.9
abelo,"{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>vespo",蜜蜂属昆虫,<곤충> 꿀벌. vir～o 숫벌. ～ino 암벌. ～regxino 여왕벌. ～a diligenteco 벌의 근면성. ～kulturo 양봉. ～ejo 양봉장. ～ujo 벌통.,C,8.0,3.0,8.79,8.4
aboni,"{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>rezervi, >>antaŭmendi",（事先付款）预订,"[타] 정기구독하다. ～o ①정기구독. ～karto 정기구독 카드; ～prezo, ～pago 구독요금. ②정기구독 기간. ～anto 구독자. mal～i 정기구독을 해약하다. re～i 정기구독을 갱신하다. ～ilo 정기구독 신청서.",B,8.0,2.0,5.67,6.83
absoluta,"{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>perfekta",绝对的，无条件的，完全的,"①절대적인, 제약을 받지 않는, 독재의. ②무조건의, 어떤 조건・예비・제한을 받지 않는, 완전한, 철저한. ☞ nepra, radikala, perfekta, pura. ③<문법> 본문으로부터 독립된. ～a participo 독립분사. ④<화학> 순수한. ～a alkoholo 순수한 알코올. ～e ①절대적으로．②(부정과 함께)전혀, 반드시. ～ismo 절대주의.",B,9.0,2.0,5.67,7.33
absurda,"{Ｂ}非常識な, 不合理な; ばかげた, ばかばかしい; 【哲】不条理な",荒谬，不合逻辑,"불합리한, 비상식적인, 터무니없는. ☞ sensenca, idiota. ～ajxo 불합리한 것, 모순. ～ulo 엉뚱한 사람, 터무니없는 사람.",C,9.0,3.0,8.79,8.9
abunda,"{Ｂ}有り余るほどの, 豊富な, >>riĉa",大量，极其丰富,"①풍부한, 필요한 수량보다 더 많은. ～a rikolto 풍성한 수확. ②풍부(풍성)하게 갖고 있는. ☞ ricxa, svarmanta. ～e 풍부하게, 많이. ～o 다량, 다수. ☞ superfluo. ～i [자] 풍부하게 있다, 풍성하다. mal～a 부족한. super～a 과잉(過剩)의.",C,7.0,3.0,8.79,7.9
adapti,"{Ｂ}［他］適合させる, 適応させる, 合わせる; （劇や映画用に）脚色する",适应，配（合），改编；装配,"[타] ①적합(적용・적응)시키다, 조정하다. ②<예술> 번안(飜案)・개작(改作)・각색하다. ☞ alfari, algxustigi. ～o, ～ado 적응, 적용, 개작(改作). ～ajxo 개작품(改作品). ～igxi …에 적응하다. ～ilo <기계> 어댑터.",C,9.0,3.0,8.79,8.9
adiaŭ,{Ｂ}［間］さようなら,再见！（在长期离别前向人告别的话）,"오래 동안 떨어져 있을 사람에게 하는 작별인사. 프랑스어의 “al Dio(하나님에게)!”에서 유래. ～ por cxiam! 영원히 안녕!. ～o 고별(告別). ～a 이별의, 고별의. ～a kunveno 송별회. ☞ revido. ～i [타] 누구에게 이별을 고하다.",B,7.0,2.0,5.67,6.33
adicii,"{Ｂ}［他］【数】加える, 足し算する, >>aldoni",[数学]加,"[타] <수학> 더하다, 가산하다. ～o 덧셈, 가산법. ～o 덧셈, 가산법. ☞ sumo. ～ato 더해지는 수(數) 중의 하나.",C,8.0,3.0,8.79,8.4
adjektivo,{Ｂ}【Ｇ】形容詞,形容词,"<문법> 형용사. ☞ epiteto, predikativo, kvalifika, determina.",C,8.0,3.0,8.79,8.4
administri,"{Ｂ}［他］管理する, 経営する, 運営する; （～の）行政をつかさどる",管理,"[타] 관리하다, 경영하다. ☞ direkti, gvidi, regi. ～o, ～ado 관리, 경영, 행정. ～ejo 관리소, 사무소. ～anto, ～isto 관리인, 경영인, 지배인.",C,8.0,3.0,8.79,8.4
admiri,"{Ｂ}［他］感嘆する, 賛美する; 敬服する, 感心する",赞赏，倾倒，崇敬,"[타] ①감탄하다. ☞ adori. ②경복(敬服)하다, 찬미하다. ～o 감탄, 경탄. ～inda 감탄할만한, 훌륭한.",B,8.0,2.0,5.67,6.83
admoni,"{Ｂ}［他］言い聞かせる, 勧告する, 強く勧める; 戒める, 訓戒する, 説諭する, 叱責する",劝导，训斥,"[타] ①권고(권유)하다, 타이르다. ☞ instigi. ②훈계하다, 야단치다. ☞ skoldi. ～o 권고, 권유, 충고, 훈계. de～i 말리다, …을 하지 말라고 타이르다. Re～o 신명기(申命記).",C,8.0,3.0,8.79,8.4
adopti,"{Ｂ}［他］養子にする; 《転》（自分の考え・行動に）取り入れる, 採用する",收养，过继；采纳，采用,"[타] ①양자․양녀로 삼다. ☞ filigo. ②<비유> (의견․방침 등을)채택(채용)하다. ～a 양자의, 양녀의.",C,8.0,3.0,8.79,8.4
adori,"{Ｂ}［他］【宗】礼拝する, 崇拝する, あがめる; 《転》敬慕する, あこがれる; 《転》大好きである",崇拜，崇敬；酷好，醉心于…,"[타] ①예배, 숭배하다. ☞ kulti. ②<비유> 사모하다, 존경이 가득한 열정으로 사랑하다. ☞ admiri. ③정열적인 성향(기질)을 갖다. ～ejo 예배처소, 예배당. ☞ pregxejo, templo, sanktejo. ～klinigxi 엎드려 경배하다. ～kanti 찬송하다. ～anto 숭배자, 팬(영화 팬, 야구팬 따위).",C,9.0,3.0,8.79,8.9
adreso,{Ｂ}住所; あて名; 【情】アドレス（メモリの番地）,地址,"주소. ～i [타] ①편지․소포의 겉에 주소를 쓰다. ②누구의 거주지로 무엇을 보내다. ③<비유> 누구에게 말을 전하다(보내다). ☞ sin direkti, sin turni. ～anto 발신인. ～ato,～ulo 수신인. ～aro 주소록. ～loko 수신처. ～libro 주민등록부.",B,5.0,2.0,5.67,5.33
adverbo,"{Ｂ}【Ｇ】副詞, >>e-vorto",副词,<문법> 부사(副詞).,C,9.0,3.0,8.79,8.9
advokato,"{Ｂ}弁護士, 弁護人; 《転》代弁者",律师，辩护人,"①변호사. ②대변인. ～i 변호하다, 대변하다 .",C,8.0,3.0,8.79,8.4
aero,"{Ｂ}空気, 外気, 大気; 空, 空中",空气，气体；空中，天空,"①공기(空氣). ②(생활환경으로 간주되는)공기(空氣). ③우리 주위의 자유로운 공간, 공중(空中). ④비행기가 날아가는 환경으로 간주되는 공간, 공중(空中). ～armeo, ～atako, ～invado, ～floto 공군(空軍), 공습(空襲), 공중침략(空中侵略), 항공대(航空隊); ～fotografado 공중촬영; ～linio 항로(航路); ～kavo 에어포켓; ～malsano 비행기 멀미; ～posxto 항공우편. ☞ flugi. ～a ①공기로 구성되어 있는, 공중의. ☞ venta. ②공중에 있는. ③항공의, 공중의. ④불확실한, 근거없는. ～ujo 산소통(잠수부의). ☞ aeroforo. ～umi 환기시키다, 바람을 쏘이다(악취제거를 위하여). ～umado de tunelo 터널의 환기(換氣).",A,4.0,1.0,2.54,3.27
afabla,"{Ｂ}愛想のよい, 親切な; ものやわらかな, ていねいな; 【情】使いやすい, ユーザーフレンドリーな",和气的，和蔼的,"①친절한. ～ajxo 친절한 언행. ～eco 친절, 호의. mal～a 불친절한, 비우호적인. ☞ acida, grumblema.",B,3.0,2.0,5.67,4.33
afero,"{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco",事（情），事业,"①사물(事物), 일. ※구체적이든 추상적이든 어떤 형태로나 이 세상에 있는 모든 것을 가리킴. ②종사하고 있는 일, 행하거나 하려고 하는 것, 일, 사무. ③개인․공공의 이익과 관련된 일․사건. ④재판 중에 있는 사건, 소송사건. ☞ proceso. ⑤거래(去來). ～isto 실무가(實務家), 사업가. ～sxargxisto 대리대사(代理大使), 대리공사(公使). ～vojagxo 공무(公務)여행.",A,2.0,1.0,2.54,2.27
afiŝo,"{Ｂ}ポスター, 貼り紙, 掲示物; プラカード; 【情】（メーリングリストや電子掲示板などの）投稿記事, 掲示",广告，招贴,"포스터, 벽이나 기둥에 내붙이는 광고. ☞ avizo. ～i [타] 포스터로 광고하다, 게시하다. ～isto 벽보 붙이는 사람. ～homo 샌드위치 맨(극장프로나 광고판을 몸의 앞뒤에 메고 다니는 사람).",C,8.0,3.0,8.79,8.4
aflikti,"{Ｂ}［他］深く悲しませる, 苦しませる, 悩ませる",使人苦恼,"[타] 심한 마음의 고통을 일으키다, 고민하게하다, 고뇌(苦惱)케 하다. ☞ cxagreni, deprimi. ～o 고민․고뇌하는 사람의 감정, 번민, 비탄. ～igxi 고민․고뇌․번민하다.☞ zorgi. ～igxo 고민, 번민. ☞ melankolio.",C,9.0,3.0,8.79,8.9
afranki,"{Ｂ}［他］切手を貼る, 郵便料金を払う",预付邮费，贴邮票,[타] 우편요금을 지불하다. ～o 우편요금.,C,8.0,3.0,8.79,8.4
agi,"{Ｂ}［自］行動する, ふるまう; 【理】作用する",行动；对待,"[자] ①행동하다. ☞ fari. ②처신하다, 누구를 어떻게 대하다. ③<화학, 물리> …에 영향을 미치다. ～o 행동, 행위, 동작. ☞ akto. ～ado ①활동, 행동(길거나 반복되는 행동). ☞ plenuma, ekzekutiva. ②문학작품의 이야기를 구성하는 활동무대. ☞ sceno. ～ema 활동적인. ☞ aktiva, diligenta, vigla. kontraux～i [자] 역행(逆行)하다, 반대로 행동하다. kun～i [자] 같은 목적으로 함께 일하다, 협력하다. ～okampo 활동의 장(場)(무대). re～i 반응・반작용・반동(反動)하다. re～o 반작용, 반응. sen～ado 무위(無爲). ☞ nenifarado, malvigleco, dormo.",A,5.0,1.0,2.54,3.77
agrabla,"{Ｂ}快い, 心地よい, 気持ちのよい",令人愉快的,"마음에 들고 기쁘게 하는(기쁨을 주는), 유쾌한. ～e 기쁘게, 유쾌하게, 기분 좋게. ～ajxo 기쁨을 주는 일(행위). mal～a 불쾌한, 괴로운 인상을 주는.",A,4.0,1.0,2.54,3.27
ajlo,"{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =ajlobulbo; 《般》ネギ（葱）, =tubajlo; 《般》ニラ（韮）",葱属植物；蒜，蒜头,마늘.,C,9.0,3.0,8.79,8.9
ajn,{Ｂ}［副］～であっても（無差別を示す）,无论，不管；任何,"<부사> 부정(不定) 부사(제한을 하지않는 뜻을 나타내는 부사). ①관계대명사나 부사의 뒤에서. kiu ～ 누구든지; kio ajn 무엇이든지; kiam ajn 언제든지; kiel ajn 어떻게 해서든지, 어떻게 …한다할지라도; kie ajn 어디든지; kien ajn 어디로든지; kiom ajn 얼마든지, 얼마큼 …한다할지라도. ②부정(不定)대명사나 형용사 뒤에서. iu ajn 어느 사람이든지; ion ajn 어느 것이든지; iam ajn 어느 때든지; iel ajn 어떻게든지. ～a 어느, 임의의. ～a nombro 임의의 (어느) 숫자. ～e… ～e 두 가지 가능성 사이에서 무제한적 선택을 나타냄.",A,1.0,1.0,2.54,1.77
akademio,"{Ｂ}学士院, アカデミー",学院，研究院,학술원(문학가・예술가・과학자들로 구성되는).,C,9.0,3.0,8.79,8.9
akceli,"{Ｂ}［他］加速する, 促進する, >>plirapidigi",加速，促进,"[타] ①<물리> 가속하다, 촉진하다, 더 빠르게 하다. ②(시기적으로) 더 이르게 하다, 서두르다. ③<비유> 발전시키다, 촉진하다. ～ilo ①<자동차> 액셀, 가속기. premi ～ ilon (gaspedalon) 액셀을 밟다. ②<화학> 촉매제. mal～i ①[타] 감속하다. ②<비유> 방해하다, 브레이크를 밟다 (bremsi), 연기하다.",C,8.0,3.0,8.79,8.4
akcento,{Ｂ}【Ｇ】【楽】アクセント; 《転》強調,重音，声调，语气，腔调,"<문법> 악센트, 강조하기. ☞ tono, enklitiko, paroksitona. ～i 발음을 세게 하다, 강조하다. ☞ emfazi, substreki.",C,9.0,3.0,8.79,8.9
akcepti,"{Ｂ}［他］受入れる, 受理する; 迎え入れる; 容認する",接受，接待,"[타] ①…을 받아들이다, 수락하다. ②(집・가정・단체의)안으로 받아들이다. ☞ enlasi. ③접대하다, (초대・손님)에 대해 어떻게 처신하다, 영접하다. ～o 접견, 영접, 리셉션. ～ebla 수락될 수 있는, 받아들일 수 있는. ～ejo 응접실, 대기실. mal～i 거절하다, rifuzi.",A,4.0,1.0,2.54,3.27
akcidento,"{Ｂ}事故, 災難; 偶然の出来事",事故，偶发事件,"사고(事故). ～a 불의의, 우연의. labor～o (산업)노동재해.",B,7.0,2.0,5.67,6.33
akiri,"{Ｂ}［他］手に入れる, 獲得する, 習得する, >>gajni",获得，得到,"[타] ①얻다, 획득하다, 취득하다. ②자신의 노력으로 어떤 사람의 호의・도움・지지를 얻다. ～i amikon, prozelitojn 친구의, 개종자들의 지지를 얻어내다. ③노력하여 추상적인 무엇을 자기의 것으로 하다, 획득하다, 습득(習得)하다. ～i influon, sagxon, potencon 영향력을, 지혜를, 권력을 획득하다. ☞ atingi, gajni. ～o ①획득, 얻음. ②얻은 것, 획득물. ～ajxo akiro ②. ☞ kaptajxo, predo. ～ebla 손에 넣을 수 있는, 제 것으로 할 수 있는. re～i 잃은 것을 다시 얻다, (기운을)회복하다. flat～i 아첨하여 얻다. milit～i 전쟁하여 얻다. batal～o, cxaso～o, labor～o, rab～o 싸움, 사냥, 노동, 강탈 등의 행위로 얻은 것.",B,6.0,2.0,5.67,5.83
