Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
-ont-,{Ｂ}［分詞接尾辞］（能動・将然）,主动将来分词（表将要）,능동태 미래분사 접미사,A,1,1,2.54,1.77
-op-,"{Ｂ}［接尾辞］（集合を示す）, >>du〜e",构成集合数,접미:여럿이함께함,B,9,2,5.67,7.33
-os,{Ｂ}［動詞語尾］（未来形）,[词尾]直陈式将来时,동사 미래시제 어미,A,1,1,2.54,1.77
-ot-,{Ｂ}［分詞接尾辞］受動・将然,被动将来分词（表将要）,수동·미래 분사,A,1,1,2.54,1.77
-u,{Ｂ}［動詞語尾］（意志法を示す）,[词尾]动词命令式,동사 명령·의지법 어미,A,1,1,2.54,1.77
-um-,"{Ｂ}［接尾辞］（特定の意味を持たない）, >>gust〜i, >>man〜o",（含义不定）,의미 고정 없이 관습적으로 쓰이는 접미사,A,1,1,2.54,1.77
-us,{Ｂ}［動詞語尾］（条件法を示す）,[词尾]动词虚拟式,동사의 조건법 어미,A,1,1,2.54,1.77
-ĉj-,"{Ｂ}［接尾辞］（男子の愛称を示す）, >>Vil〜o, >>pa〜o",构成对男子的爱称,남자 이름·호칭에 붙는 애칭 접미사,B,9,2,5.67,7.33
Afriko,{Ｂ}【地名】アフリカ,非洲,아프리카 대륙,B,9,2,5.67,7.33
Ameriko,{Ｂ}【地名】アメリカ（大陸）,美洲,아메리카 대륙,B,9,2,5.67,7.33
Atlantiko,"{Ｂ}【地名】大西洋, =Atlantika Oceano",大西洋,대서양,C,9,3,8.79,8.9
Azio,{Ｂ}【地名】アジア,亚洲,아시아 대륙,B,9,2,5.67,7.33
Aŭstralio,{Ｂ}【国名】オーストラリア（大洋州）,澳大利亚,"오스트레일리아, 호주",C,9,3,8.79,8.9
Esperanto,{Ｂ}エスペラント（1887年ザメンホフが発表した国際語）,世界语,"중립적 국제어, 인공 언어",B,8,2,5.67,6.83
Eŭropo,{Ｂ}【地名】ヨーロッパ,欧洲,유럽,B,9,2,5.67,7.33
Mediteraneo,{Ｂ}【地名】地中海（ヨーロッパ南）,地中海,지중해,C,9,3,8.79,8.9
Pacifiko,"{Ｂ}【地名】太平洋, =Pacifika Oceano",太平洋,태평양,C,9,3,8.79,8.9
abelo,"{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>vespo",蜜蜂属昆虫,"꿀벌, 작은 벌",C,8,3,8.79,8.4
aboni,"{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>rezervi, >>antaŭmendi",预付订阅，定期预订,정기구독하다,B,8,2,5.67,6.83
absoluta,"{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>perfekta",绝对的，无条件的，完全的,"절대적인, 무조건의, 완전한 상태",B,9,2,5.67,7.33
absurda,"{Ｂ}非常識な, 不合理な; ばかげた, ばかばかしい; 【哲】不条理な",荒谬，不合逻辑,터무니없는,C,9,3,8.79,8.9
abunda,"{Ｂ}有り余るほどの, 豊富な, >>riĉa",大量，极其丰富,"풍부한, 아주 많은",C,7,3,8.79,7.9
adapti,"{Ｂ}［他］適合させる, 適応させる, 合わせる; （劇や映画用に）脚色する",适应，配（合），改编；装配,"적응시키다, 맞추다",C,9,3,8.79,8.9
adiaŭ,{Ｂ}［間］さようなら,再见！（在长期离别前向人告别的话）,오랫동안 헤어질 때의 작별인사,B,7,2,5.67,6.33
adicii,"{Ｂ}［他］【数】加える, 足し算する, >>aldoni",[数学]加,수학에서 수를 더하다,C,8,3,8.79,8.4
adjektivo,{Ｂ}【Ｇ】形容詞,形容词,형용사,C,8,3,8.79,8.4
administri,"{Ｂ}［他］管理する, 経営する, 運営する; （～の）行政をつかさどる",管理,조직이나 기관을 관리·운영하다,C,8,3,8.79,8.4
admiri,"{Ｂ}［他］感嘆する, 賛美する; 敬服する, 感心する",赞赏，倾倒，崇敬,감탄하고 존경하다,B,8,2,5.67,6.83
admoni,"{Ｂ}［他］言い聞かせる, 勧告する, 強く勧める; 戒める, 訓戒する, 説諭する, 叱責する",劝导，训斥,타이르다,C,8,3,8.79,8.4
adopti,"{Ｂ}［他］養子にする; 《転》（自分の考え・行動に）取り入れる, 採用する",收养，过继；采纳，采用,아이를법적으로데려와자녀로삼다,C,8,3,8.79,8.4
adori,"{Ｂ}［他］【宗】礼拝する, 崇拝する, あがめる; 《転》敬慕する, あこがれる; 《転》大好きである",崇拜，崇敬；酷好，醉心于…,예배하고 숭배하다,C,9,3,8.79,8.9
adreso,{Ｂ}住所; あて名; 【情】アドレス（メモリの番地）,地址；（计）内存地址,"주소, 받는 이의 이름；（컴퓨터） 주소",B,5,2,5.67,5.33
adverbo,"{Ｂ}【Ｇ】副詞, >>e-vorto",副词,부사,C,9,3,8.79,8.9
advokato,"{Ｂ}弁護士, 弁護人; 《転》代弁者",律师，辩护人,변호사,C,8,3,8.79,8.4
aero,"{Ｂ}空気, 外気, 大気; 空, 空中",空气，气体；空中，天空,"공기, 대기",A,4,1,2.54,3.27
afabla,"{Ｂ}愛想のよい, 親切な; ものやわらかな, ていねいな; 【情】使いやすい, ユーザーフレンドリーな",和气的，和蔼的,"상냥하고 친절한, 붙임성 있는",B,3,2,5.67,4.33
afero,"{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco",事情；事务；案件；【法】诉讼事件；【商】交易,"일, 사건, 용무, 【법】소송 사건, 【상업】거래",A,2,1,2.54,2.27
afiŝo,"{Ｂ}ポスター, 貼り紙, 掲示物; プラカード; 【情】（メーリングリストや電子掲示板などの）投稿記事, 掲示",广告，招贴；（网络）帖子,"포스터, 벽이나 기둥에 붙이는 광고；（인터넷） 게시글",C,8,3,8.79,8.4
aflikti,"{Ｂ}［他］深く悲しませる, 苦しませる, 悩ませる",使人苦恼,깊이 괴롭혀 고통스럽게 하다,C,9,3,8.79,8.9
afranki,"{Ｂ}［他］切手を貼る, 郵便料金を払う",预付邮费，贴邮票,우편요금을 미리 내다,C,8,3,8.79,8.4
agi,"{Ｂ}［自］行動する, ふるまう; 【理】作用する",行动；对待,행동하다,A,5,1,2.54,3.77
agrabla,"{Ｂ}快い, 心地よい, 気持ちのよい",令人愉快的,기분 좋고 유쾌한,A,4,1,2.54,3.27
ajlo,"{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =〜bulbo; 《般》ネギ（葱）, =tub〜; 《般》ニラ（韮）",大蒜；葱属植物,마늘,C,9,3,8.79,8.9
ajn,{Ｂ}［副］～であっても（無差別を示す）,无论，不管；任何,"어느 것이든, 아무거나",A,1,1,2.54,1.77
akademio,"{Ｂ}学士院, アカデミー",学院，研究院,"학술원, 아카데미",C,9,3,8.79,8.9
akceli,"{Ｂ}［他］加速する, 促進する, >>plirapidigi",加速，促进,"속도를 높이다, 촉진하다",C,8,3,8.79,8.4
akcento,{Ｂ}【Ｇ】【楽】アクセント; 《転》強調,重音，声调，语气，腔调,발음에서 특정 음절의 강세,C,9,3,8.79,8.9
akcepti,"{Ｂ}［他］受入れる, 受理する; 迎え入れる; 容認する",接受，接待,받아들이다,A,4,1,2.54,3.27
akcidento,"{Ｂ}事故, 災難; 偶然の出来事",事故，偶发事件,"사고, 우발적 사건",B,7,2,5.67,6.33
akiri,"{Ｂ}［他］手に入れる, 獲得する, 習得する, >>gajni",获得，得到,"얻다, 획득하다",B,6,2,5.67,5.83
akompani,{Ｂ}［他］同行する; 【楽】伴奏する,陪同，伴随，护送,"함께 가다, 동행하다",B,6,2,5.67,5.83
akordo,"{Ｂ}一致, 調和; 【楽】和音",融洽，协调，一致，和弦,의견이나 상태의 일치,C,9,3,8.79,8.9
akra,{Ｂ}鋭い,锋利，尖锐,"예리한, 날카로운",B,6,2,5.67,5.83
aktiva,"{Ｂ}活動的な, 活発な, 積極的な; 活動中の, 現役の; 【Ｇ】能動の",有能力的，有作用的；积极的，活动的；有效，特效,"활동적인, 적극적인",B,9,2,5.67,7.33
akto,{Ｂ}【劇】幕; 【法】証書,[戏剧]幕，证书，契约，法令，条例,연극의 막,C,9,3,8.79,8.9
aktoro,{Ｂ}俳優,演员,배우,B,9,2,5.67,7.33
aktuala,"{Ｂ}現行の, 最新の",当前的，热门的，时事性的,"현재의, 최신의",C,9,3,8.79,8.9
akurata,{Ｂ}時間厳守の,准时，及时，守时,시간 엄수하는,C,8,3,8.79,8.4
akuzi,"{Ｂ}［他］【法】告発する, 告訴する",指责，谴责；控告，控诉,법적고소하다,C,9,3,8.79,8.9
akvo,{Ｂ}水,水,물,A,3,1,2.54,2.77
al,{Ｂ}［前］～へ,向,향하는 대상,A,1,1,2.54,1.77
albumo,"{Ｂ}（写真・切手の）アルバム, 写生帳, サイン帳; （音楽ＣＤの）アルバム, 曲集",影集，画册，集邮册；（音乐）专辑,사진이나 우표 등을 모아 놓은 앨범；（음악） 앨범,C,8,3,8.79,8.4
alfabeto,"{Ｂ}【Ｇ】アルファベット, 字母",字母表,"알파벳, 자모",C,9,3,8.79,8.9
alia,"{Ｂ}ほかの, 別の, その他の; もう一つの / ［代］他の人",另外的；他者（代名词）,"다른, 또 하나의；（대명사） 다른 사람/것",A,2,1,2.54,2.27
alkoholo,{Ｂ}アルコール,酒精，（乙）醇,"알코올, 술",C,8,3,8.79,8.4
almenaŭ,{Ｂ}［副］少なくとも,至少；起码,적어도,A,1,1,2.54,1.77
almozo,{Ｂ}施し物,布施，救济,자선품,C,8,3,8.79,8.4
alta,"{Ｂ}高い; 高貴な, 高級な",高,"높은, 키가 큰",A,2,1,2.54,2.27
alterni,{Ｂ}［自］交互に起こる,交替，轮流，轮换；交流（电）；轮作,"번갈아일어나다,교대하다",C,9,3,8.79,8.9
aludi,"{Ｂ}［他］ほのめかす, それとなく言及する, 暗示する",暗指；暗示，（间接）提到,넌지시 언급하다,C,9,3,8.79,8.9
alumeto,{Ｂ}マッチ,火柴,성냥,C,7,3,8.79,7.9
amara,{Ｂ}苦い; きびしい,苦味，枯涩；痛苦，辛酸，辛辣；刺人的，严厉,"맛이 쓴, 《전》가혹한",C,9,3,8.79,8.9
amaso,"{Ｂ}集積, 大量, 群れ; 大衆, 群衆",一大堆，一群；人群,큰 무더기,A,4,1,2.54,3.27
amatoro,"{Ｂ}アマチュア, 愛好家, ><profesiulo",业余爱好者，爱好者,"아마추어, 애호가",C,9,3,8.79,8.9
ambasadoro,{Ｂ}大使,大使,대사,C,9,3,8.79,8.9
ambaŭ,"{Ｂ}［形］両方の, 双方の / {Ｂ}［代］両方, 両者 / {Ｂ}［副］両方とも, どちらも",两者（代词/副词）,"둘 다, 양쪽 모두（대명사/부사로도 사용）",A,1,1,2.54,1.77
ami,"{Ｂ}［他］愛する, 好きである",爱,사랑하다,A,2,1,2.54,2.27
amiko,{Ｂ}友達; 味方,朋友,"친구, 벗",A,2,1,2.54,2.27
amplekso,"{Ｂ}大きさ, 広がり; 【哲】外延; 【統】分布範囲",大小，广度，范围,범위,C,8,3,8.79,8.4
amuzi,{Ｂ}［他］楽しませる,逗笑，使…高兴,남을 즐겁게 하다,B,5,2,5.67,5.33
anaso,{Ｂ}【鳥】アヒル（家鴨）,鸭属鸟类,집오리,C,8,3,8.79,8.4
anekdoto,"{Ｂ}逸話, ゴシップ, 奇聞; 小話",轶事，趣闻，小故事,재미있는 짧은 일화,C,9,3,8.79,8.9
angulo,"{Ｂ}角（かど）, すみ; 【数】角（かく）",角；角落,"모서리, 구석",B,4,2,5.67,4.83
animalo,"{Ｂ}動物, ><vegetalo",动物,동물,C,8,3,8.79,8.4
animo,"{Ｂ}魂, 心; 生気; 【宗】霊",灵魂，精神,"영혼, 마음",B,5,2,5.67,5.33
ankaŭ,{Ｂ}［副］～もまた,也,"또한, …도",A,1,1,2.54,1.77
ankoraŭ,{Ｂ}［副］まだ; もっと,还，仍,"아직, 여전히",A,1,1,2.54,1.77
anonci,{Ｂ}［他］予告する; 公告する,宣布，通告，公告,공식적으로 알리다,B,6,2,5.67,5.83
anstataŭ,{Ｂ}［前］～の代わりに / {Ｂ}［接］～する代わりに,代替（介词/连词）,"대신, 대체하여（전치사/접속사）",A,1,1,2.54,1.77
antaŭ,{Ｂ}［前］（時間的・空間的に）～の前に,在…前面，在…以前,공간·시간상 앞에,A,1,1,2.54,1.77
anĝelo,{Ｂ}天使,安琪儿，天使,천사,C,8,3,8.79,8.4
aparato,"{Ｂ}装置, 機械一式; 【解】器官; 【政】機関; 【情】装置, デバイス",一套装置，仪器；（解）器官；（政）机关,"장치, 기계；（해부） 기관；（정치） 기구",B,7,2,5.67,6.33
aparta,"{Ｂ}別の, 別々の; 特別の",单独的，个别的，分开的；特别的,"별개의, 특별한",B,4,2,5.67,4.83
apartamento,"{Ｂ}アパートメント, フラット（集合住宅内の一区画）",成套房间,아파트 한 세대,C,8,3,8.79,8.4
aparteni,{Ｂ}［自］（～ al）～のものである; ～に所属する,属，属于,어떤 사람이나 단체에 속하다,B,6,2,5.67,5.83
apenaŭ,"{Ｂ}［副］やっと, かろうじて; ほとんど～ない, =preskaŭ ne / {Ｂ}［接］～するや否や",至多；几乎不；刚…就…,"겨우, 간신히",A,1,1,2.54,1.77
aperi,"{Ｂ}［自］現われる, （刊行物が）出る",出现,"나타나다, 출현하다",A,4,1,2.54,3.27
apetito,{Ｂ}食欲,食欲,식욕,C,8,3,8.79,8.4
aplaŭdi,{Ｂ}［他］拍手喝采（かっさい）する; 《転》称賛する,鼓掌，拍手称赞；赞同,손뼉쳐 칭찬하거나 환호하다,C,9,3,8.79,8.9
apliki,"{Ｂ}［他］応用する, 適用する; 【理】（力を）作用させる",应用，实际运用；使用，采用,"응용하다, 적용하다",C,9,3,8.79,8.9
apogi,"{Ｂ}［他］支える, もたせかける; 《転》支持する",支撑着,"지탱하다, 받쳐주다",B,6,2,5.67,5.83
apoteko,{Ｂ}薬局,药店，药房,약국,C,8,3,8.79,8.4
aprilo,{Ｂ}４月,四月,사월,A,5,1,2.54,3.77
aprobi,"{Ｂ}［他］賛成する, 同意する; 是認する, 認可する",赞成，认可,찬성하고인정하며승인하다,B,6,2,5.67,5.83
apud,{Ｂ}［前］～のそばに,在…近旁,"옆에, 가까이에",A,1,1,2.54,1.77
araneo,{Ｂ}【動】クモ（蜘蛛）,蜘蛛属动物,거미,C,8,3,8.79,8.4
aranĝi,"{Ｂ}［他］整える, 整頓する; 手配する; 【楽】編曲する; 【劇】脚色する",整理，布置；安排,정리하고 필요한 준비를 하다,B,5,2,5.67,5.33
arbitra,"{Ｂ}任意の, 勝手気ままな",任性，专横,제멋대로의,C,9,3,8.79,8.9
arbo,"{Ｂ}木, 樹木; 【植】高木",树,"나무, 수목",A,3,1,2.54,2.77
arko,"{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓",弧，弧形物，拱形物,"활 모양의 곡선, 또는 아치형 구조물",C,8,3,8.79,8.4
armeo,{Ｂ}軍隊; ～軍; 《転》大群,军队,국가의 조직된 군대,B,7,2,5.67,6.33
armi,{Ｂ}［他］武装させる; 装甲する,武装，加固,무장시키다,B,6,2,5.67,5.83
artikolo,"{Ｂ}記事; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞",冠词；文章；条款,"신문이나 잡지의 글, 기사",B,7,2,5.67,6.33
arto,"{Ｂ}技術, ～術; 芸術; （自然に対して）人工",技艺；艺术,예술,A,3,1,2.54,2.77
arĝento,{Ｂ}銀; 【遊】（将棋の）銀将,银,은(金속),B,5,2,5.67,5.33
asekuri,{Ｂ}［他］保険をかける,保险；担保，保障,보험에 들다,C,8,3,8.79,8.4
aserti,"{Ｂ}［他］断言する, 主張する",断言，断定,단언·주장하다,C,9,3,8.79,8.9
asocio,"{Ｂ}協会, 結社; 結合, 連合",协会，联合会，社团,협회,B,8,2,5.67,6.83
aspekti,{Ｂ}［自］見える,像是，貌似，显得,처럼 보이다,B,7,2,5.67,6.33
ataki,{Ｂ}［他］攻撃する; 襲う,进攻，袭击,"공격하다, 습격하다",B,6,2,5.67,5.83
atendi,{Ｂ}［他］待つ; 期待する,等待；预料；期待,기다리다,A,3,1,2.54,2.77
atenta,{Ｂ}注意深い,注意的，留心的,주의깊은,A,4,1,2.54,3.27
atesti,"{Ｂ}［他］証言する, 証明する",证明，证实，作证,증언하다,C,8,3,8.79,8.4
atingi,"{Ｂ}［他］着く, 届く, 到達する",到达，达到；做到,어떤 지점에 도달하다,A,5,1,2.54,3.77
atomo,"{Ｂ}【理】原子; 【哲】アトム; 《転》微小物, 微塵",原子,"물질을 이루는 최소 단위, 원자",C,9,3,8.79,8.9
avara,"{Ｂ}欲の深い, けちな",吝啬，贪婪,"인색한, 욕심 많은",C,6,3,8.79,7.4
aventuro,{Ｂ}冒険; 不意の出来事,奇遇；冒险,"모험, 뜻밖의 사건",C,7,3,8.79,7.9
avenuo,"{Ｂ}並木道, アベニュー; 大通り",（通向纪念性建筑物或风景区的）林阴大道,가로수 늘어선 큰길,C,8,3,8.79,8.4
averti,"{Ｂ}［他］警告する, 注意を促す, 予告する",警告，提醒，劝阻,위험을 미리 알려 경고하다,B,6,2,5.67,5.83
avida,{Ｂ}渇望している; むさぼるような,渴望，热望,"탐욕스러운, 갈망하는",C,8,3,8.79,8.4
avo,{Ｂ}祖父; おじいさん,（外）祖父,할아버지,B,4,2,5.67,4.83
azeno,{Ｂ}【動】ロバ; 《転》愚か者,驴,당나귀,C,5,3,8.79,6.9
aĉeti,"{Ｂ}［他］買う, 購入する; =sub〜（買収する）",买,"사다, 구입하다",A,3,1,2.54,2.77
aĝo,"{Ｂ}年齢, 歳",年龄；时代，时期,"나이, 연령",A,4,1,2.54,3.27
aŭ,"{Ｂ}［接］または, あるいは",或者，还是,"또는, 혹은",A,1,1,2.54,1.77
aŭdi,{Ｂ}［他］聞く; 聞こえる,听见,소리를 듣다,A,3,1,2.54,2.77
aŭgusto,{Ｂ}８月,八月,팔월,A,5,1,2.54,3.77
aŭskulti,"{Ｂ}［他］聴く, 耳を傾ける, 傾聴する",听,"주의해서 듣다, 경청하다",A,4,1,2.54,3.27
aŭto,"{Ｂ}自動車, =〜mobilo",汽车,자동차,A,8,1,2.54,5.27
aŭtobuso,{Ｂ}バス,公共汽车,버스,B,7,2,5.67,6.33
aŭtomato,"{Ｂ}自動装置, 自動機械; 自動人形, ロボット",自动装置，自动机,"자동장치, 자동기계",C,7,3,8.79,7.9
aŭtomobilo,"{Ｂ}自動車, =aŭto",同aŭto（汽车）,자동차,C,8,3,8.79,8.4
aŭtoritato,"{Ｂ}権威, 権限",威望；权威；当局,권위,C,8,3,8.79,8.4
aŭtoro,"{Ｂ}著者, 作者",作者，著者,"저자, 작가",B,9,2,5.67,7.33
aŭtuno,{Ｂ}秋,秋天,가을,A,4,1,2.54,3.27
babili,"{Ｂ}［自］雑談する, おしゃべりする",聊天，闲谈,"잡담하다, 수다 떨다",B,7,2,5.67,6.33
bagatelo,"{Ｂ}つまらないこと, ささいなこと",小事，琐事,사소한 일,C,9,3,8.79,8.9
baki,"{Ｂ}［他］（パン，肉などを）焼く, （煉瓦，陶器などを）焼き固める",烘，焙；（烤箱里）烤,빵·고기·벽돌 등을 굽다,C,8,3,8.79,8.4
balai,{Ｂ}［他］掃く; 【理】走査する,扫除，扫掉，打扫干净,빗자루로쓸어청소하다,C,6,3,8.79,7.4
balanci,{Ｂ}［他］上下に揺らす,上下簸动，上下摆动,아래위로 흔들다,C,8,3,8.79,8.4
balbuti,{Ｂ}［自］どもる,口吃，结巴,말을 더듬다,C,9,3,8.79,8.9
baldaŭ,"{Ｂ}［副］まもなく, やがて",不久，没多时,"곧, 머지않아",A,1,1,2.54,1.77
balo,"{Ｂ}舞踏会, ダンスパーティ",舞会,무도회,C,9,3,8.79,8.9
balono,"{Ｂ}気球; 風船, =baloneto; 【化】球形フラスコ",气球,"기구, 풍선",C,7,3,8.79,7.9
baloti,"{Ｂ}［自］投票する, 票決する",投票（选举）,투표하다,C,9,3,8.79,8.9
bambuo,{Ｂ}【植】タケ（竹）,竹,대나무,C,9,3,8.79,8.9
banano,{Ｂ}【果】バナナ,香蕉及各种芭蕉（果实）的总称,바나나,C,9,3,8.79,8.9
bandaĝo,{Ｂ}包帯,绷带,붕대,C,9,3,8.79,8.9
bani,{Ｂ}［他］水浴させる; （液体に）浸しておく; （水などを）浴びせかける,洗澡，洗,목욕시키다,A,5,1,2.54,3.77
banko,"{Ｂ}銀行; 【遊】（賭博で）親元にある賭け金, 場銭（ばせん）",银行,예금과 대출을 취급하는 금융기관,B,7,2,5.67,6.33
barakti,"{Ｂ}［自］もがく, じたばたする; 《転》苦闘する",挣扎；奋斗；竞争,"몸부림치다, 발버둥치다",C,8,3,8.79,8.4
barbo,"{Ｂ}あごひげ, ほおひげ",胡子,"수염, 턱수염",C,6,3,8.79,7.4
barelo,{Ｂ}樽（たる）,桶，琵琶桶,불룩한 통,C,8,3,8.79,8.4
baro,"{Ｂ}障害; =baraĵo / 【理】バール（圧力の単位，bar）, >>paskalo",障碍；（物理）巴（压力单位）,"장애물, 방해가 되는 것；（물리） 바（기압 단위）",B,6,2,5.67,5.83
bastono,"{Ｂ}棒, 杖（つえ）",棒；指挥棒，权杖,막대기,B,6,2,5.67,5.83
batali,{Ｂ}［自］戦う,战斗，斗争,싸우다,B,4,2,5.67,4.83
bati,"{Ｂ}［他］打つ, たたく, 殴る",打，击，敲；（心脏）跳动，拍打,"세게 때리다, 치다",A,3,1,2.54,2.77
bazaro,"{Ｂ}市場（いちば）, 市（いち）, マーケット, >>super〜",市场，集市，商场，交易会,"시장, 장터, 마켓",C,8,3,8.79,8.4
bazo,"{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地",基础，根基；（化）碱；（数）基数，底边；基地,"기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지",B,8,2,5.67,6.83
bebo,"{Ｂ}赤ん坊, =infaneto, >>suĉinfano",婴儿,"아기, 갓난아이",C,8,3,8.79,8.4
bedaŭri,"{Ｂ}［他］残念に思う, 惜しむ",痛惜，惋惜,유감스러워하다,A,6,1,2.54,4.27
beko,{Ｂ}くちばし,鸟嘴,새부리,C,6,3,8.79,7.4
bela,"{Ｂ}美しい, きれいな; 立派な, すばらしい; （天気が）晴れた",美丽，漂亮；美好,"아름답고 예쁜, 훌륭하다",A,2,1,2.54,2.27
bendo,"{Ｂ}ひも, テープ, 帯, バンド; 【建】帯飾り（車のタイヤは通常 pneŭo）",带；带子；频带，波段,띠나 끈 모양의 테이프,B,9,2,5.67,7.33
beni,{Ｂ}［他］祝福する,祝福，祈福，赐福；感恩,축복하다,C,8,3,8.79,8.4
benko,{Ｂ}ベンチ,长凳，长椅,벤치,B,5,2,5.67,5.33
benzino,{Ｂ}ガソリン; 【化】ベンジン,挥发油，汽油,"휘발유, 가솔린",C,8,3,8.79,8.4
bero,{Ｂ}（イチゴ・ブドウなど汁気の多い）実; 【植】液果,浆果,딸기·포도 같은 즙많은 열매,C,7,3,8.79,7.9
besto,"{Ｂ}（人間を除く）動物, 獣, >>animalo",（不含人）动物；兽,사람을 제외한 동물,A,4,1,2.54,3.27
bezoni,"{Ｂ}［他］必要とする, >>necesi",需要,…을 필요로 하다,A,3,1,2.54,2.77
biblioteko,"{Ｂ}図書館, 図書室; 蔵書; 【情】ライブラリ",图书馆；（计）程序库,도서관；（컴퓨터） 라이브러리,B,8,2,5.67,6.83
biciklo,{Ｂ}自転車,（两轮）自行车,자전거,B,8,2,5.67,6.83
bieno,"{Ｂ}領地, 地所",庄园，田庄,"영지, 토지",C,7,3,8.79,7.9
biero,"{Ｂ}ビール, >>botela, >>barela",啤酒,맥주,B,7,2,5.67,6.33
bildo,"{Ｂ}絵, 図, 挿絵; 像, 光景; 映像, 影; 心象; 似姿; 比喩（ひゆ）; 【理】像; 【情】画像",图；像；影像；情景；意象；比喻形象,"그림, 영상, 심상, 광경, 비유",A,3,1,2.54,2.77
bileto,"{Ｂ}切符, 券",票，券，帖,"표, 티켓",B,7,2,5.67,6.33
bindi,{Ｂ}［他］製本する,装订，精装,제본하다,C,9,3,8.79,8.9
birdo,{Ｂ}鳥; 《転》人（例: stranga 〜 変なやつ）,鸟,새,A,3,1,2.54,2.77
blanka,{Ｂ}白い,白色，空白,흰색,A,3,1,2.54,2.77
bleki,"{Ｂ}［自］（動物が）鳴く, いななく, ほえる; 《転》（人が）わめく",（兽类）叫，嘶；哭叫,짐승이 울부짖다,C,9,3,8.79,8.9
blinda,"{Ｂ}盲目の; 《転》盲目的な（差別的表現なので避けるべき）, =>senkritika, =>malprudenta",瞎，盲,"눈이 먼, 시력을 잃은",B,7,2,5.67,6.33
