"English","Русский язык","Esperanto"
"I'll see you in three weeks.","Увидимся через три недели.","Ni revidiĝos post tri semajnoj"
"How are you getting on with your new job?","Как вы справляетесь с новой работой?","Kiel vi progresas en via nova laboro?"
"Please give my kind regards to your father.","Пожалуйста, передайте мои наилучшие пожелания своему отцу.","Bonvolu transdoni miajn korajn salutojn al via patro"
"Long time no see.","Давно не виделись.","Delonge ni ne vidiĝis"
"Good luck!","Удачи!","Bonŝancon!"
"Same to you!","Взаимно!","Ankaŭ al vi!"
"Have fun!","Хорошо повеселиться!","Amuziĝu!"
"Take care!","Береги себя!","Zorgu pri vi!"
"Have a nice day!","Хорошего дня!","Bonan tagon!"
"Thanks, you too!","Спасибо, и тебе!","Dankon, ankaŭ al vi!"
"All the best!","Всего наилучшего!","Ĉion plej bonan!"
"Bless you!","Будь здоров!","Sanon!"
"Get well soon!","Поправляйся скорее!","Resaniĝu baldaŭ!"
"Cheers!","Будем здоровы!","Je via sano!"
"Sleep well!","Спи крепко!","Dormu bone!"
"Glad to hear it.","Рад это слышать.","Mi ĝojas aŭdi tion"
"Enjoy your trip!","Хорошей тебе поездки!","Bonan vojaĝon!"
"Have a good time!","Желаю хорошо провести время!","Bonan amuzon!"
"Have a great night!","Приятно провести ночь!","Agrablan nokton!"
"Have a good weekend!","Хороших выходных!","Bonan semajnfinon!"
"I wish you health.","Желаю тебе здоровья.","Mi deziras al vi sanon"
"I wish you happiness.","Желаю тебе счастья.","Mi deziras al vi feliĉon"
"May all your wishes come true.","Пусть все твои желания исполнятся.","Ke ĉiuj viaj deziroj plenumiĝu!"
"Let's make a toast to you!","Давайте поднимем тост за вас!","Ni tostu por vi!"
"Good night and sweet dreams!","Спокойной ночи и приятных снов!","Bonan nokton kaj dolĉajn sonĝojn!"
"I hope all your dreams come true.","Надеюсь, все твои мечты исполнятся.","Mi esperas, ke ĉiuj viaj revoj realiĝos"
"I wish you a long and happy life!","Желаю тебе долгой и счастливой жизни!","Mi deziras al vi longan kaj feliĉan vivon!"
"I wish you success in everything you do.","Желаю тебе успехов во всех делах.","Mi deziras al vi sukceson en ĉio, kion vi faras"
"Wishing you happiness on your special day.","Желаю тебе счастья в этот особый день.","Mi deziras al vi feliĉon en via speciala tago"
"I'd like to propose a toast to my son.","Я бы хотел предложить тост за своего сына.","Mi ŝatus proponi toston por mia filo"
"With your permission, I'd like to say a few words.","С вашего разрешения, я бы хотела сказать несколько слов.","Kun via permeso, mi volus diri kelkajn vortojn"
"Good luck on your first day at school.","Удачного тебе первого дня в школе.","Bonŝancon por via unua tago en la lernejo!"
"Good luck on your new job!","Удачи на новой работе!","Bonŝancon en via nova laboro!"
"I hope you feel better soon.","Я надеюсь, тебе скоро станет лучше.","Mi esperas, ke vi baldaŭ fartos pli bone"
"Have a safe journey home!","Лёгкой дороги назад!","Bonan vojaĝon hejmen!"
"Thank you.","Спасибо.","Dankon"
"You're welcome.","Пожалуйста.","Nedankinde"
"No, thanks.","Нет, спасибо.","Ne, dankon"
"Happy to help.","Рад помочь.","Mi ĝojas helpi"
"Thank you very much.","Большое спасибо.","Multan dankon"
"Don't mention it.","Не стоит благодарности.","Nedankinde"
"That's very kind of you.","Это очень мило с твоей стороны.","Tio estas tre afabla de vi"
"Thanks for coming.","Спасибо, что пришёл.","Dankon, ke vi venis"
"Thanks for your hospitality.","Спасибо за гостеприимство.","Dankon pro via gastamo"
"Thanks for your present.","Спасибо за подарок.","Dankon pro via donaco"
"Thank you for saying so.","Спасибо тебе за такие слова.","Dankon, ke vi tiel diris"
"Don't bother.","Не стоит беспокоиться.","Ne ĝenu vin"
"I'm good, thanks.","Я хорошо, спасибо.","Mi fartas bone, dankon"
"Thanks for your help.","Спасибо тебе за помощь.","Dankon pro via helpo"
"It's nothing at all.","Не за что.","Tute nenio"
"Thanks for everything.","Спасибо за всё.","Dankon pro ĉio"
"Thank you for your compliment.","Спасибо вам за комплимент.","Dankon pro via komplimento"
"I'll forever be grateful.","Я буду тебе бесконечно благодарен.","Mi estos eterne dankema al vi"
"It was the least I could do.","Это было меньшее, что я мог сделать.","Tio estis la plej malmulto, kion mi povis fari"
"It's a pleasure.","Не стоит благодарности.","Estas plezuro"
"I can't thank you enough.","Я даже не знаю как вас благодарить.","Mi ne povas sufiĉe danki vin"
"On the contrary: I should be thanking you!","Наоборот, это мне стоило бы вас благодарить!","Kontraŭe: estas mi, kiu devus danki vin!"
"I appreciate your time.","Спасибо за уделённое время.","Mi dankas pro via tempo"
"You're very generous.","Вы очень щедры.","Vi estas tre malavara"
"Thanks, I had a great evening.","Спасибо, я провёл отличный вечер.","Dankon, mi pasigis bonegan vesperon"
"I'd like to say how grateful I am to you.","Я бы хотел сказать, как я вам благодарен.","Mi ŝatus diri, kiel dankema mi estas al vi"
"I'm very much obliged to you.","Я очень вам обязана.","Mi estas tre dankema al vi"
"I am pleased to do so.","Мне было приятно это сделать.","Estis plezuro por mi tion fari"
"I will never forget what you have done for me.","Я никогда не забуду, что ты для меня сделал.","Mi neniam forgesos, kion vi faris por mi"
"You would have done the same for me.","Ты бы сделала для меня то же самое.","Vi farus la samon por mi"
"It's really not necessary.","В этом действительно нет необходимости.","Tio vere ne estas necesa"
"Thank you for a lovely evening!","Спасибо тебе за чудесный вечер!","Dankon pro la ĉarma vespero!"
"I enjoyed myself today, thank you.","Я отлично провела время сегодня, спасибо.","Mi bone amuziĝis hodiaŭ, dankon"
"I greatly appreciate your nice words.","Я очень ценю твои добрые слова.","Mi tre aprezas viajn afablajn vortojn"
"I really don't know how to thank you for your support.","Я правда не знаю, как поблагодарить тебя за твою поддержку.","Mi vere ne scias kiel danki vin pro via subteno"
"I would like to thank you on behalf of my husband too.","Я бы также хотела поблагодарить вас от имени моего мужа.","Mi ŝatus danki vin ankaŭ nome de mia edzo"
"I'm honoured to receive this award.","Для меня честь получить эту награду.","Estas honoro por mi ricevi ĉi tiun premion"
"I'm sorry.","Прости меня.","Pardonu min"
"That's all right.","Всё в порядке.","Ĉio estas en ordo"
"Excuse me.","Извините!","Pardonu!"
"No problem.","Никаких проблем.","Neniu problemo"
"Please forgive me.","Пожалуйста, прости меня.","Bonvolu pardoni min"
"Never mind!","Ничего страшного!","Nenio grava!"
"Sorry I'm late.","Прости, я опаздываю.","Pardonu, mi malfruas"
"Sorry to bother you.","Извини, что беспокою.","Pardonu, ke mi ĝenas vin"
"Please don't worry.","Пожалуйста, не волнуйся.","Ne zorgu, mi petas"
"No offence.","Не обижайтесь.","Ne ofendiĝu"
"I apologise.","Прости.","Pardonu min"
"Well, let's forget it.","Ну, давай забудем об этом.","Nu, ni forgesu pri tio"
"Sorry for the delay.","Извините за задержку.","Pardonu pro la prokrasto"
"Sorry, I don't have time.","Извините, у меня нет времени.","Pardonu, mi ne havas tempon"
"Sorry, I can't talk any longer.","Извините, я не могу больше говорить.","Pardonu, mi ne povas plu paroli"
"Sorry, there is nothing left.","Извини, больше ничего не осталось.","Pardonu, nenio plu restas"
"Am I disturbing you?","Я вам не помешаю?","Ĉu mi ĝenas vin?"
"I didn't mean that.","Я не то имела в виду.","Mi ne tion celis"
"That's my fault.","Это моя вина.","Tio estas mia kulpo"
"I beg your pardon.","Прошу прощения.","Mi petas pardonon"
"May I bother you for a moment?","Могу я вас на секунду побеспокоить?","Ĉu mi povas vin momenton ĝeni?"
"Sorry, but I've got to dash now.","Прости, но сейчас мне нужно бежать.","Pardonu, sed mi devas nun foriri"
"Sorry, I overheard your conversation.","Извините, я случайно услышала ваш разговор.","Pardonu, mi hazarde aŭdis vian konversacion"
"There's no reason to apologise.","Нет причин извиняться.","Ne estas kialo pardonpeti"
"I know you're upset.","Я знаю, ты расстроен.","Mi scias, ke vi estas ĉagrenita"
"I regret saying this.","Я сожалею, что сказал это.","Mi bedaŭras, ke mi diris tion"
"It was careless of me.","Это было неосторожно с моей стороны.","Estis senzorge de mia flanko"
"I'm afraid I can't stay any longer.","Боюсь, я не могу задержаться на подольше.","Mi timas, ke mi ne povas resti plu longe"
"I'm sorry, but it is the last one.","Извините, но это последний.","Pardonu, sed ĝi estas la lasta"
"I am sorry to have kept you waiting.","Извините, что заставила вас ждать.","Pardonu, ke mi devigis vin atendi"
"Next time I'll get it right.","В следующий раз я сделаю всё правильно.","Venontfoje mi faros ĉion ĝuste"
"Look!","Смотри!","Rigardu!"
"Let's go!","Пойдём!","Ni iru!"
"Hurry up!","Поторопись!","Rapidu!"
"Stop it!","Прекрати!","Ĉesu!"
"Come on!","Давай же!","Nu!"
"Look right.","Посмотри направо.","Rigardu dekstren"
"Look left.","Посмотри налево.","Rigardu maldekstren"
"Watch out!","Осторожно!","Atentu!"
"Please sit down.","Садитесь, пожалуйста.","Bonvolu sidiĝi"
"Don't forget!","Не забудь!","Ne forgesu!"
"Shut up!","Замолчи!","Silentu!"
"Calm down!","Успокойся!","Trankviliĝu!"
"Cheer up!","Не унывай!","Kuraĝu!"
"Take it easy!","Не бери в голову!","Ne zorgu pri tio!"
"Give me this one.","Дай мне вот это.","Donu al mi ĉi tiun"
"Let me know.","Дай мне знать.","Sciigu min"
"Come with me!","Пойдём со мной!","Venu kun mi!"
"Hang on a second.","Подожди секундочку.","Atendu momenton"
"Beware of the dog","Осторожно, собака","Atentu la hundon"
"Keep off the grass","По газону не ходить","Ne paŝu sur la gazonon!"
"After you, Mr Smith!","После вас, мистер Смит!","Post vi, sinjoro Smith!"
"Hang on a minute.","Подожди минутку.","Atendu momenton"
"Take your time.","Не торопитесь.","Ne rapidu"
"Don't be nervous.","Не нервничай.","Ne nervozu"
"Watch where you're going!","Смотри, куда идёшь!","Rigardu, kien vi iras!"
"Please don't smoke here.","Пожалуйста, не курите здесь.","Bonvolu ne fumi ĉi tie"
"Please queue up here","Пожалуйста, встаньте в очередь здесь","Bonvolu viciĝi ĉi tie"
"I'm afraid you can't.","Боюсь, этого нельзя делать.","Mi timas, ke vi ne povas fari tion"
"Wait here a moment, please.","Подождите здесь немного, пожалуйста.","Atendu ĉi tie momenton, mi petas"
"Don't pay attention to what he said.","Не обращай внимания на то, что он сказал.","Ne atentu tion, kion li diris"
"I'm afraid I can't let you go.","Боюсь, я не могу вас отпустить.","Mi timas, ke mi ne povas lasi vin foriri"
"Yes.","Да.","Jes"
"No.","Нет.","Ne"
"OK.","Хорошо.","Bone"
"What?","Что?","Kio?"
"Where?","Где?","Kie?"
"When?","Когда?","Kiam?"
"Why?","Почему?","Kial?"
"Who?","Кто?","Kiu?"
"How?","Как?","Kiel?"
"How many?","Сколько?","Kiom?"
"How often?","Как часто?","Kiom ofte?"
"How long?","Как долго?","Kiom longe?"
"How far?","Как далеко?","Kiom malproksime?"
"Please.","Пожалуйста.","Bonvolu"
"Of course.","Конечно.","Kompreneble"
"Maybe.","Возможно.","Eble"
"Really?","Правда?","Ĉu vere?"
"Yes, really.","Да, правда.","Jes, vere"
"What's this?","Что это?","Kio estas ĉi tio?"
"I don't know.","Я не знаю.","Mi ne scias"
"I know.","Я знаю.","Mi scias"
"Is everything OK?","Всё в порядке?","Ĉu ĉio en ordo?"
"It's OK.","Хорошо.","Bone"
"Yes, sure.","Да, конечно.","Jes, certe"
"Why not?","Почему бы и нет?","Kial ne?"
"Not bad.","Неплохо.","Ne malbone"
"Not yet.","Ещё нет.","Ankoraŭ ne"
"Next time.","В следующий раз.","Venontfoje"
"Who are you?","Кем вы работаете?","Kio estas via profesio?"
"Take this!","Возьмите это!","Prenu ĉi tion!"
"That's it.","Вот и всё.","Jen ĉio"
"Me too.","Я тоже.","Ankaŭ mi"
"That's great!","Здорово!","Bonege!"
"That's funny!","Прикольно!","Amuze!"
"How beautiful!","Как красиво!","Kiel bele!"
"Yes, I love it!","Да, оно мне очень нравится!","Jes, ĝi tre plaĉas al mi!"
"Yes, it's fine.","Да, хорошо.","Jes, estas bone"
"Just kidding!","Шучу!","Mi nur ŝercas!"
"Oh! That's good!","О! Это хорошо!","Ho! Tio estas bona!"
"That's a relief.","Какое облегчение.","Kia trankviliĝo!"
"That's life!","Такова жизнь!","Tia estas la vivo!"
"Are you sure?","Ты уверен?","Ĉu vi certas?"
"How can I help you?","Чем я могу вам помочь?","Kiel mi povas helpi vin?"
"Have you got a minute?","У вас есть минутка?","Ĉu vi havas minuton?"
"Of course not.","Конечно, нет.","Kompreneble ne"
"Neither do I.","Я тоже.","Ankaŭ mi ne"
"What's happening here?","Что здесь происходит?","Kio okazas ĉi tie?"
"What do you mean?","Что ты имеешь в виду?","Kion vi volas diri?"
"Isn't it so?","Разве это не так?","Ĉu ne?"
"What should I do?","Что мне делать?","Kion mi faru?"
"It doesn't matter.","Это не важно.","Ne gravas"
"The sooner the better.","Чем раньше, тем лучше.","Ju pli frue, des pli bone"
"Well, I've never heard about him.","Ну, я никогда о нём не слышал.","Nu, mi neniam aŭdis pri li"
"Could I have your attention, please?","Не могли бы вы уделить мне внимание, пожалуйста?","Ĉu mi povus havi vian atenton?"
"Congratulations!","Поздравляю!","Gratulon!"
"Happy Birthday!","С Днём Рождения!","Feliĉan naskiĝtagon!"
"Happy Holidays!","С праздниками!","Feliĉajn festotagojn!"
"Happy New Year!","С Новым Годом!","Feliĉan Novan Jaron!"
"Merry Christmas!","Счастливого Рождества!","Feliĉan Kristnaskon!"
"Happy Easter!","Счастливой Пасхи!","Feliĉan Paskon!"
"Happy Hanukkah!","Счастливой Хануки!","Feliĉan Ĥanukon!"
"Happy Anniversary!","С годовщиной!","Feliĉan datrevenon!"
"My sincere congratulations!","Мои искренние поздравления!","Miaj sinceraj gratuloj!"
"Well done! We knew you could do it!","Молодец! Мы знали, что ты справишься!","Bonege! Ni sciis, ke vi sukcesos!"
"Many happy returns!","Желаю долгих лет жизни!","Multajn feliĉajn jarojn!"
"Happy Valentine's Day!","С Днём святого Валентина!","Feliĉan Tagon de Sankta Valenteno!"
"Happy Mother's Day!","С Днём матери!","Feliĉan Patrintagon!"
"Happy Diwali to you!","Поздравляю тебя с Дивали!","Feliĉan Diwalion!"
"Let me congratulate you.","Позвольте вас поздравить.","Permesu al mi gratuli vin"
"Congratulations on your graduation!","Поздравляю с окончанием университета!","Gratulon pro via diplomiĝo!"
"Congratulations on getting the job!","Поздравляю с приёмом на работу!","Gratulon pro la nova laborposteno!"
"Congratulations on your new baby.","Поздравляю с новорождённым.","Gratulon pro via novnaskito"
"Happy Thanksgiving!","Счастливого Дня Благодарения!","Feliĉan Dankagadon!"
"Happy Ramadan!","С Рамаданом!","Feliĉan Ramadanon!"
"Let me be the first to congratulate you.","Позвольте мне первым поздравить вас.","Permesu al mi unue gratuli vin"
"Well done on getting into university!","Поздравляю с поступлением в университет!","Gratulon pro via akcepto en la universitaton!"
"Congratulations on passing your exams!","Поздравляю со сдачей экзаменов!","Gratulon pro la trapaso de viaj ekzamenoj!"
"Congratulations on getting your Master's!","Поздравляю с получением степени магистра!","Gratulojn pro via magistra grado!"
"Congratulations on passing your driving test!","Поздравляю тебя с тем, что ты сдал на права!","Gratulon pro la trapaso de via stirekzameno!"
"Congratulations on the arrival of your new baby girl!","Поздравляю вас с новорождённой малышкой!","Gratulojn pro via novnaskita filineto!"
"I'm sure you will be wonderful parents.","Я уверена, что вы будете чудесными родителями.","Mi certas, ke vi estos mirindaj gepatroj"
"We are happy to announce the birth of our son.","Мы рады сообщить о рождении нашего сына.","Ni ĝojas anonci la naskiĝon de nia filo"
"I like Bengali.","Мне нравится бенгальский.","Mi ŝatas la bengalan"
"I speak Romanian.","Я говорю по-румынски.","Mi parolas la rumanan"
"Does she speak Thai?","Она говорит по-тайски?","Ĉu ŝi parolas la tajan?"
"I'm learning Urdu.","Я учу урду.","Mi lernas la urduon"
"I speak two languages.","Я говорю на двух языках.","Mi parolas du lingvojn"
"I don't speak Spanish.","Я не говорю по-испански.","Mi ne parolas la hispanan"
"It's an easy language.","Это простой язык.","Ĝi estas facila lingvo"
"I learnt it at school.","Я выучила его в школе.","Mi lernis ĝin en la lernejo"
"I took a course.","Я прошла курс.","Mi sekvis kurson"
"I taught myself.","Я выучил его сам.","Mi mem lernis ĝin"
"Who speaks Persian?","Кто говорит по-персидски?","Kiu parolas la persan?"
"Let's speak in Slovenian.","Давай говорить на словенском.","Ni parolu slovene"
"You speak very good Azeri.","Ты говоришь очень хорошо по-азербайджански.","Vi parolas tre bone azerbajĝane"
"Do you speak Japanese?","Ты говоришь на японском?","Ĉu vi parolas la japanan?"
"Yes, but I don't speak it very well.","Да, но я говорю на нём не очень хорошо.","Jes, sed mi ne parolas ĝin tre bone"
"I just need to practise.","Мне просто нужно попрактиковаться.","Mi simple bezonas praktiki"
"I'm a little out of practice.","Мне немного не хватает практики.","Mi iom elpraktikiĝis"
"I can get by in Italian.","Я могу изъясняться по-итальянски.","Mi povas komuniki itale"
"Your Tagalog is very good.","У тебя очень хороший тагальский.","Via tagaloga estas tre bona"
"I'm trying to learn Malay.","Я пытаюсь учить малайский.","Mi provas lerni la malajan"
"Please speak in Latvian.","Пожалуйста, говори на латвийском.","Bonvolu paroli latve"
"My native language is Norwegian.","Мой родной язык - норвежский.","Mia denaska lingvo estas la norvega"
"What languages can you speak?","На каких языках вы можете говорить?","Kiujn lingvojn vi povas paroli?"
"I speak French, Spanish, and a little Slovak.","Я говорю на французском, испанском и немного на словацком.","Mi parolas la francan, la hispanan kaj iomete la slovakan"
"Does anyone here speak Swedish?","Кто-нибудь здесь говорит по-шведски?","Ĉu iu ĉi tie parolas la svedan?"
"I only speak a very little Dutch.","Я только совсем немного говорю по-голландски.","Mi parolas nur tre malmulte la nederlandan"
"Where did you learn your Finnish?","Где ты выучила финский?","Kie vi lernis la finnan?"
"I've got an excellent command of Arabic.","Я отлично владею арабским.","Mi perfekte regas la araban lingvon"
"I'd like to practise my Portuguese.","Я бы хотела попрактиковаться в португальском.","Mi ŝatus praktiki mian portugalan"
"I've been learning Indonesian for one month.","Я изучаю индонезийский один месяц.","Mi lernas la indonezian jam de unu monato"
"Do you understand?","Вы понимаете?","Ĉu vi komprenas?"
"I understand.","Я понимаю.","Mi komprenas"
"I don't understand.","Я не понимаю.","Mi ne komprenas"
"Try to say it.","Попробуй это сказать.","Provu diri tion"
"Do you understand German?","Ты понимаешь немецкий?","Ĉu vi komprenas la germanan?"
"Can you repeat that?","Не могли бы вы повторить?","Ĉu vi povus ripeti tion?"
"Is that right?","Это правильно?","Ĉu tio estas ĝusta?"
"Is that wrong?","Это неправильно?","Ĉu tio estas malĝusta?"
"What's this called?","Как это называется?","Kiel ĉi tio nomiĝas?"
"Please write it down.","Запиши это пожалуйста.","Bonvolu noti ĝin"
"I do not speak your language.","Я не говорю на вашем языке.","Mi ne parolas vian lingvon"
"Did you understand what I said?","Ты понял, что я сказала?","Ĉu vi komprenis, kion mi diris?"
"Yes, I understood.","Да, я понял.","Jes, mi komprenis"
"Sorry, I didn't understand.","Извини, я не поняла.","Pardonu, mi ne komprenis"
"What does this mean?","Что это значит?","Kion ĉi tio signifas?"
"I've got no idea.","Понятия не имею.","Mi havas nenian ideon"
"I've got an accent.","У меня есть акцент.","Mi havas akcenton"
"It's a hard language.","Это сложный язык.","Ĝi estas malfacila lingvo"
"Say that again, please.","Повторите, пожалуйста.","Bonvolu ripeti, mi petas"
"Can you speak more slowly?","Ты можешь говорить помедленнее?","Ĉu vi povas paroli pli malrapide?"
"How do you pronounce this word?","Как произносится это слово?","Kiel oni prononcas ĉi tiun vorton?"
"Can you spell it?","Можешь произнести его по буквам?","Ĉu vi povas literumi ĝin?"
"My Korean is pretty bad.","Мой корейский довольно плохой.","Mia korea estas sufiĉe malbona"
"Speak with me in Mandarin Chinese.","Говорите со мной на мандаринском диалекте китайского.","Parolu kun mi en la mandarena ĉina lingvo"
"You haven't got an accent.","У тебя нет акцента.","Vi ne havas akcenton"
"Pardon? What did you say?","Извините? Что вы сказали?","Pardonu? Kion vi diris?"
"What does that word mean in English?","Что означает это слово на английском?","Kion signifas tiu vorto angle?"
"How do you spell that?","Как это пишется?","Kiel oni skribas tion?"
"How do you say it in Czech?","Как это по-чешски?","Kiel oni diras tion ĉeĥe?"
"What is that called in Polish?","Как это называется по-польски?","Kiel tio nomiĝas pole?"
"Am I pronouncing it correctly?","Я правильно её произношу?","Ĉu mi ĝuste ĝin prononcas?"
"How can that be translated?","Как это можно перевести?","Kiel oni povas traduki tion?"
"You are speaking too fast.","Вы говорите слишком быстро.","Vi parolas tro rapide"
"What should I say?","Что я должен сказать?","Kion mi diru?"
"I agree with you.","Я согласна с тобой.","Mi konsentas kun vi"
"I disagree.","Я не согласен.","Mi malkonsentas"
"You are right.","Ты права.","Vi pravas"
"That's true.","Это правда.","Tio estas vera"
"Don't you agree?","Разве ты не согласна?","Ĉu vi ne konsentas?"
"I entirely agree.","Я полностью согласна.","Mi tute konsentas"
"You are so right.","Ты так права.","Vi tiel pravas"
"Don't you think so?","Разве ты так не думаешь?","Ĉu vi ne pensas tiel?"
"Oh, surely not!","О, конечно нет!","Ho, certe ne!"
"I don't agree with your opinion.","Я не согласна с вашим мнением.","Mi ne konsentas kun via opinio"
"Can I ask if you agree?","Могу я спросить, согласна ли ты?","Ĉu mi povas demandi, ĉu vi konsentas?"
"Actually, I think the same.","Вообще-то, я тоже так думаю.","Fakte, ankaŭ mi tiel pensas"
"Do you agree that it is a lie?","Ты согласна, что это ложь?","Ĉu vi konsentas, ke tio estas mensogo?"
"Oh, I don't agree.","О нет, я не согласна.","Ho ne, mi ne konsentas"
"I'm afraid not.","Боюсь, что нет.","Mi timas, ke ne"
"I'm not at all convinced.","Я абсолютно не убеждён.","Mi tute ne estas konvinkita"
"I can see his point.","Я понимаю его точку зрения.","Mi komprenas lian vidpunkton"
"That's not the same thing.","Это не то же самое.","Tio ne estas la sama afero"
"Yes, this is a great film.","Да, это отличный фильм.","Jes, ĉi tio estas bonega filmo"
"That's exactly my point of view.","Это в точности соответствует моей точке зрения.","Tio estas ĝuste mia vidpunkto"
"That's what I was thinking, too.","Я тоже об этом думала.","Ankaŭ mi tiel pensis"
"Yes, that's quite in order.","Да, всё в полном порядке.","Jes, ĉio estas en plena ordo"
"I don't think anyone would disagree.","Не думаю, что кто-нибудь не согласился бы.","Mi ne pensas, ke iu ajn malkonsentus"
"I can't argue with that.","Я не могу с этим поспорить.","Mi ne povas kontraŭdiri tion"
"I can't see any objection.","Я не вижу каких-либо препятствий.","Mi vidas nenian malhelpon"
"I can't say that I share your view.","Не могу сказать, что я разделяю вашу точку зрения.","Mi ne povas diri, ke mi kunhavas vian vidpunkton"
"I can see his point, but I disagree with it completely.","Я понимаю его точку зрения, но я полностью с ней не согласен.","Mi komprenas lian vidpunkton, sed mi tute malkonsentas kun ĝi"
"I'm afraid you're mistaken.","Боюсь, вы ошибаетесь.","Mi timas, ke vi eraras"
"I'm afraid that's nonsense.","Боюсь, это ерунда.","Mi timas, ke tio estas sensencaĵo"
"I'm sorry, but that's impossible.","Прости, но это невозможно.","Pardonu, sed tio estas neebla"
"There are too many commercials on TV, right?","По телевизору слишком много рекламы, правда?","En la televido estas tro multe da reklamoj, ĉu ne?"
"Where are you?","Где ты?","Kie vi estas?"
"I'm at Peter's.","Я у Питера.","Mi estas ĉe Petro"
"I'm in town.","Я в городе.","Mi estas en la urbo"
"How was the trip?","Как прошла поездка?","Kiel estis la vojaĝo?"
"We really enjoyed our trip.","Нам очень понравилась наша поездка.","Ni tre ĝuis nian vojaĝon"
"What are you doing?","Что ты делаешь?","Kion vi faras?"
"Where is he?","Где он?","Kie li estas?"
"I'm at work.","Я на работе.","Mi estas ĉe la laboro"
"I'm at home.","Я дома.","Mi estas hejme"
"I'm on a train.","Я в поезде.","Mi estas en trajno"
"Where are you going?","Куда ты идёшь?","Kien vi iras?"
"I'm going to bed.","Я иду спать.","Mi iras dormi"
"My trip was very nice.","Моя поездка прошла очень хорошо.","Mia vojaĝo estis tre agrabla"
"Do you know a good pub?","Ты знаешь хороший бар?","Ĉu vi konas bonan drinkejon?"
"Do you like red more than blue?","Красный нравится тебе больше, чем синий?","Ĉu vi pli ŝatas ruĝon ol bluon?"
"Is it safe here?","Здесь безопасно?","Ĉu estas sekure ĉi tie?"
"Is there any problem?","Какая-то проблема?","Ĉu estas ia problemo?"
"I have to go and find my friends.","Мне нужно пойти найти своих друзей.","Mi devas iri kaj trovi miajn amikojn"
"Whom should I ask?","Кого мне следует спросить?","Kiun mi demandu?"
"I want to ask you a question.","Я хочу задать тебе вопрос.","Mi volas fari al vi demandon"
"Do you like the book?","Тебе нравится книга?","Ĉu vi ŝatas la libron?"
"What's your favourite film?","Какой твой любимый фильм?","Kiu estas via plej ŝatata filmo?"
"What did you do last night?","Что ты делала прошлым вечером?","Kion vi faris hieraŭ vespere?"
"Where do you want to go?","Куда ты хочешь поехать?","Kien vi volas iri?"
"When are you leaving?","Когда ты уезжаешь?","Kiam vi foriras?"
"I am leaving on Thursday.","Я уезжаю в четверг.","Mi foriras ĵaŭde"
"I'm in the countryside.","Я на природе.","Mi estas en la kamparo"
"Do you know a good doctor?","Ты знаешь хорошего доктора?","Ĉu vi konas bonan kuraciston?"
"Do you prefer orange or green?","Ты предпочитаешь оранжевый или зелёный?","Ĉu vi preferas oranĝan aŭ verdan?"
"Do you know how to make a pizza?","Ты знаешь, как готовить пиццу?","Ĉu vi scias kiel fari picon?"
"How often do you go to Prague?","Как часто ты ездишь в Прагу?","Kiom ofte vi veturas al Prago?"
"Have you ever been to Italy?","Вы когда-нибудь были в Италии?","Ĉu vi iam estis en Italio?"
"No, I've never been there.","Нет, я никогда там не была.","Ne, mi neniam estis tie"
"Yes, I went there on holiday.","Да, я ездил туда в отпуск.","Jes, mi iris tien por ferioj"
"Can you recommend a hostel?","Ты можешь порекомендовать хостел?","Ĉu vi povas rekomendi hostelon?"
